,Label,Outcomes,,,,,,
84,Other,time between requesting analgesia and vaginal delivery,0,,,,,
85,Physical,"presence of cyanosis , wheezing , retractions",2,,",",,,
86,Other,"inconvenience ,",2,,",",,,
87,Mental,patients ' knowledge of their disease and its consequences and treatment,,,,,,
88,Physical,"consequences of a minor stroke , a major stroke , and a major bleeding episode",2,,,,,
89,Other,", and costs of warfarin therapy",2,,,,,
90,Physical,"laboratory investigations ( kidney and liver functions , haematological parameters )",,deal with brackets,,,,
91,Mental,cognitive and behavioral attitudes,1,,,,,
92,Mental,"change toys , locomote , and talk .",2,,",",,,
93,Physical,"clinical , laboratory , or specific neurological testing variables",2,,", or",,,
94,Physical,diameter of the superficial temporal and radial arteries,2,,,of the,,
95,Other,Investigator-based and patient-based ratings,0,,,,,
96,Adverse-effects,"reactions ( redness , swelling , pruritus , and induration )",2,,",",information In brackets,,
97,Physical,"specific immunity ( CD3+ and CD4+ counts , and the CD4+/CD8+ ratio )",5,,,examine bracket content and leave whats outside the brackets,,
98,Physical,based on interleukin-6 and C-reactive protein levels,1,,,on,,
99,Physical,"length of hospital stay , accelerate recovery of intestinal function",2,,",",of the,,
100,Physical,serum interleukin-6 and C-reactive protein levels,2,,and,levels,,
101,Physical,post-operative inflammatory factors with a reduction in peri-operative trauma and stress,2,,and,in,,
102,Physical,cervical ripening and labor induction .,2,,and,,,
103,Physical,"neonatal resuscitations , or",2,,or,,,
104,Physical,cervical ripening and the induction of labor .,2,,and the,,,
105,Physical,frequency of uterine hyperstimulation or hypertonus . Abnormal fetal heart rate tracings,2,,of,of abnormal,,
106,Other,in vitro and in vivo release of digoxin,1,,,,,
107,Mental,Year 1 program participation ( degree of attending group sessions and submitting fat scores ),3,results,,scores,,
108,Physical,baseline characteristics and posttreatment and follow-up cocaine outcomes,0,,,,,
109,Other,safe and effective,0,,,,,
110,Physical,systolic and diastolic blood pressure,0,,,,,
111,Physical,CYP21 and other relevant markers,2,,,,,
112,Other,feasibility and diagnostic utility,0,,,,,
113,Other,specificity and sensitivity,3,results,,,,
114,Mental,"children 's use of sunscreen , shirts , and hats , and parents ' use of shade , and skin examinations .",,,,,,
115,Mental,small and perceived benefits and social norms mediated intervention effects .,2,,and,,,
116,Mental,weekly criterion-referenced pre- and posttests,,,,,,
117,Mental,increased levels of responding and academic engagement,1,,of,,,
118,Mental,passive and inappropriate student behavior,1,,,,,
119,Adverse-effects,appetite and weight gain,1,,,,,
120,Mental,Hamilton Depression and Anxiety Scales,2,,scales and Hamilton,,,
121,Adverse-effects,"of mucosal trauma , sore throat , and hemodynamic responses",2,,", and",of,,
122,Physical,postoperative nausea and vomiting,2,,and,,,
123,Mental,Non-perseverative Errors and Categories Completed,0,,,,,
124,Other,"Neuropsychological tasks , the Stroop Test and the Wisconsin Card Sorting Test ( WCST )",0,,,,,
125,Physical,on introduction and during collection,0,,,,,
126,Mental,Positive and Negative Syndrome Scale,3,results,scale,PANNS,,
127,Physical,median migraine headache days with or without aura,2,,media,,,
128,Physical,reduction in aura attacks with or without headache,2,,reduction in,,,
129,Physical,reduction in migraine headache days with or without an aura,2,,,,,
130,Physical,"production rates of VLDL2- , IDL- or LDL-",2,,,rates of,,
131,Physical,peak levels of anti-factor Xa activity and anti-factor IIa activity,2,,and,levels,,
132,Physical,plasma levels of platelet factor 4 and aggregation responses to collagen and ADP,2,,and,levels,,
133,Physical,skin ulcers or abscess cavities,2,,or,,,
134,Adverse-effects,adverse clinical and laboratory reactions,1,,,,,
135,Mental,rates and predictors of sex risk behavior,2,,and,rates and predictors,,
136,Physical,frontal and central CNV,1,,,,,
137,Physical,bone mineralization and bone pathology,2,,and,,,
138,Physical,incidence of rickets and tibial dyschondroplasia,2,,and,,,
139,Physical,lying and standing heart rates,1,,,,,
140,Other,fear of falling and falls efficacy,2,,and,,,
141,Other,Falls Efficacy and Modified Falls Efficacy Scales,2,,remove scale,,,
142,Other,Falls Efficacy Scale and the Modified Falls Efficacy Scale .,2,,and,,,
143,Other,Fear of falling and falls self-efficacy,2,,and,,,
144,Physical,plasma AA and branched-chain KA,2,,,,,
145,Physical,leukocyte counts and IL-8 levels,2,,and,,,
146,Physical,"leukocyte counts , IL-8 , and prolactin",2,,",",,,
147,Physical,"HLA-DR expression , IL-6 , and CRP levels",2,,",",,,
148,Physical,"leukocyte counts , HLA-DR expression on monocytes",2,,",",,,
149,Physical,"stress response was measured by cortisol , growth hormone , and prolactin",2,,can u deal with part of speech,,,
150,Physical,total number and effective compressions number of PCEA,,,,,,
151,Pain,"visual analogue scale ( VAS ) score of rest pain , uterine contration pain and dynamic pain","2,3",reporting results,",",score of,"N-N-,N-N-N-and-A-N",
