,Label,Outcome
1850,Adverse-effects,Side Effects Review of AEs
1838,Adverse-effects,immune-related adverse events
1851,Adverse-effects,serious bleeding complications
1853,Adverse-effects,Toxicity and rates of discontinuations because of adverse events
1854,Adverse-effects,relief of hot flushes and sleep disturbances
1855,Adverse-effects,"behavior, serious morbidity, functional status, or health rating"
1856,Adverse-effects,Mu-power
1857,Adverse-effects,hematologic malignancy
1858,Adverse-effects,Visual disturbances
1859,Adverse-effects,hepatic encephalopathy
1860,Adverse-effects,"pruritus, shivering, and urinary retention"
1861,Adverse-effects,Interleukin-2 dose reductions
1862,Adverse-effects,erythema time course
1863,Adverse-effects,median duration of granulocytopenia
1852,Adverse-effects,reducing hypertension
1891,Adverse-effects,neuropsychological outcomes
1783,Adverse-effects,bone density
1781,Adverse-effects,"substantial changes in visual acuity, pupil diameter, pulse rate, or blood pressure"
1703,Adverse-effects,eosinophilia (12/18) and thrombocythemia
1704,Adverse-effects,"deaths, adverse events, and serious adverse events"
1705,Adverse-effects,vital signs
1706,Adverse-effects,improvement in clinical signs and symptoms of asthma and PEFR
1707,Adverse-effects,"adverse events (rise in serum creatinine and fall in serum potassium, loss of appetite and shivering, rigor and fever during infusion indicative of renal, GIT and infusion related toxicities respectively)"
1708,Adverse-effects,depressive symptom scores
1709,Adverse-effects,Subject-reported adverse events (AEs)
1710,Adverse-effects,minor complications
1711,Adverse-effects,safety and pharmacokinetics (serum concentrations of rabies antibodies)
1712,Adverse-effects,prolactin-related AE (irregular menstruation)
1713,Adverse-effects,alexithymia severity
1714,Adverse-effects,reported critical lures
1715,Adverse-effects,hematotoxicity
1716,Adverse-effects,systolic and diastolic arterial pressure
1717,Adverse-effects,"infections, liver disease, and metabolic disturbances"
1718,Adverse-effects,reinfarction
1719,Adverse-effects,gastrointestinal disorders
1720,Adverse-effects,carcinogenic
1721,Adverse-effects,Recovery from anesthesia
1722,Adverse-effects,prostrate specific antigen
1723,Adverse-effects,arsenic methylation
1724,Adverse-effects,BMD on the hemiplegic side
1725,Adverse-effects,strength
1702,Adverse-effects,therapeutic failure
1701,Adverse-effects,Intraoperative blood loss
1700,Adverse-effects,frequencies of injection-site AEs
1699,Adverse-effects,Side-effects
1675,Adverse-effects,"concentration, hyperactivity, stereotypy, diarrhea, insomnia, and dry skin or pruritus"
1676,Adverse-effects,Perioperative morbidity
1677,Adverse-effects,IOP
1678,Adverse-effects,Enhanced bioavailability of zeaxanthin
1679,Adverse-effects,increase in risk
1680,Adverse-effects,clinical infection rate
1681,Adverse-effects,Overall risk of cardiotoxicity
1682,Adverse-effects,significant residua
1683,Adverse-effects,liver enzymes
1684,Adverse-effects,retransplantation
1685,Adverse-effects,incidence of fetal heart abnormalities
1726,Adverse-effects,critical lures
1686,Adverse-effects,blistering
1688,Adverse-effects,mild events
1689,Adverse-effects,Isolated stent edge
1690,Adverse-effects,"headache, sweating"
1691,Adverse-effects,Major bleeding complications
1692,Adverse-effects,gingival tissues
1693,Adverse-effects,urine flow parameters
1694,Adverse-effects,incidence of apnoea
1695,Adverse-effects,heart block
1696,Adverse-effects,chemotherapy-related nausea
1697,Adverse-effects,severity of PIPN was summarized
1698,Adverse-effects,palmar-plantar erythrodysesthesia
1687,Adverse-effects,"abdominal pain, diarrhea, nausea, vomiting, dyspepsia and other adverse reaction"
1782,Adverse-effects,predictors of MACEs
1727,Adverse-effects,inter-institutional consistency
1729,Adverse-effects,"stereotypic behavior, upset stomach, sleep-related difficulties, and emotional lability"
1758,Adverse-effects,"adverse events, health problems, and general health status"
1759,Adverse-effects,incidence of thrombocytopenia
1760,Adverse-effects,gastrointestinal side effects
1761,Adverse-effects,gray matter cortical thickness
1762,Adverse-effects,true withdrawal symptoms
1763,Adverse-effects,"PI, mmax and maximal transdiaphragmatic pressure (Pdi)"
1764,Adverse-effects,Tonsillar focal infection (TFI) and dental focal infection (DFI)
1765,Adverse-effects,Serum cholesterol level
1766,Adverse-effects,second malignancies
1767,Adverse-effects,cardiovascular risk
1768,Adverse-effects,"depression, anxiety and rumination"
1769,Adverse-effects,subcutaneous blood flow
1770,Adverse-effects,cytomegalovirus (CMV) infection
1771,Adverse-effects,"(fatigue, headache, paresthesias)"
1772,Adverse-effects,Oral Mucositis Assessment Scale score
1773,Adverse-effects,fall in oxygen uptake
1774,Adverse-effects,exfoliation
1775,Adverse-effects,mean arterial pressure
1776,Adverse-effects,minor side-effects
1777,Adverse-effects,cluster of seizures
1778,Adverse-effects,serious adverse reactions
1779,Adverse-effects,medial subconjunctival hemorrhage
1780,Adverse-effects,rates of adverse clinical events
1757,Adverse-effects,clinical symptoms
1756,Adverse-effects,herpes simplex
1755,Adverse-effects,Ipilimumab-induced adverse events
1754,Adverse-effects,incidence of steroid side effects
1730,Adverse-effects,Absence of adverse effects
1731,Adverse-effects,local and systemic reactions
1732,Adverse-effects,"change in depressive symptoms, pain, or fatigue predicted change in white blood cell count, neutrophil count, or the helper/suppressor ratio"
1733,Adverse-effects,Adverse events
1734,Adverse-effects,itching or burning
1735,Adverse-effects,PCA morphine requirement
1736,Adverse-effects,hypoglycemic episodes
1737,Adverse-effects,radiation myelitis
1738,Adverse-effects,serum bilirubin
1739,Adverse-effects,no major complications
1740,Adverse-effects,Mean prostatic volume
1728,Adverse-effects,Loss of muscle mass and strength
1741,Adverse-effects,microcirculatory subcutaneous blood flow after 1 h
1743,Adverse-effects,bacteria
1744,Adverse-effects,major problem
1745,Adverse-effects,visual analogue scales; self-rating of degree of global improvement in symptoms associated with eating
1746,Adverse-effects,Toxic effects
1747,Adverse-effects,antiproteinuric effect
1748,Adverse-effects,dilatation without obstruction
1749,Adverse-effects,Infection
1750,Adverse-effects,sweating
1751,Adverse-effects,pharmacokinetic parameters of zolmitriptan and its metabolites
1752,Adverse-effects,effect of nitroglycerin on small resistance vessels (regulating subcutaneous blood flow) without affecting the response to nitroglycerin in middle-sized arteries
1753,Adverse-effects,decreased activity
1742,Adverse-effects,microbiologic effects
1892,Adverse-effects,extrapyramidal symptoms
1893,Adverse-effects,evidence of delayed bleeding
1894,Adverse-effects,Ameliorating intrusive memories of distressing experiences
2034,Adverse-effects,incidence of clinical sepsis
2035,Adverse-effects,rapid calcium flux
2036,Adverse-effects,haemorrhagic episode
2037,Adverse-effects,respective overall survival rates
2038,Adverse-effects,trial participation
2039,Adverse-effects,vasodepressor response
2040,Adverse-effects,discontinuation due to lack of heartburn control during the on-demand phase
2041,Adverse-effects,incidence of grade 3 or higher non-haematological toxicity
2042,Adverse-effects,minor tooth sensitivity
2043,Adverse-effects,pain relief or side effects
2044,Adverse-effects,Intraoperative hyphema
2045,Adverse-effects,difficulty waking
2046,Adverse-effects,Relapses
2047,Adverse-effects,hypertriglyceridemia
2048,Adverse-effects,bipolar depression
2049,Adverse-effects,peripheral effects
2050,Adverse-effects,TE event rate
2051,Adverse-effects,specific complications
2052,Adverse-effects,amount of the drug used during each 2-h period
2053,Adverse-effects,Protein digestibility coefficients of rapeseed products
2054,Adverse-effects,false memories
2055,Adverse-effects,Factor VII antigen
2056,Adverse-effects,burning
2033,Adverse-effects,heart rate
2032,Adverse-effects,carotid IMT
2031,Adverse-effects,number of patients who experienced emetic episodes or needed rescue anti-emetics
2030,Adverse-effects,acute changes of cardiovascular and metabolic reactions
2006,Adverse-effects,complication rate
2007,Adverse-effects,ERP latency and distribution
2008,Adverse-effects,long sequences of generalised irregular spike and slow waves
2009,Adverse-effects,level of sCD44v6
2010,Adverse-effects,tolerance to the antianginal effect
2011,Adverse-effects,grade 3+4 leukocytopenia
2012,Adverse-effects,fewer side-effects
2013,Adverse-effects,skin wheal and flare reaction
2014,Adverse-effects,frequency with which gallium interfered with readings or time to complete the study
2015,Adverse-effects,undesirable side effects
2016,Adverse-effects,lengths of disease-free status and survival of patients
2057,Adverse-effects,pCR
2017,Adverse-effects,gained
2019,Adverse-effects,side-effect profile
2020,Adverse-effects,correlation with intellectual ability
2021,Adverse-effects,monitoring adverse events
2022,Adverse-effects,Treatment failures
2023,Adverse-effects,adverse side-effects
2024,Adverse-effects,booster immunization effect
2025,Adverse-effects,( FIM total score
2026,Adverse-effects,Fatigue
2027,Adverse-effects,overall length of stay
2028,Adverse-effects,implant length
2029,Adverse-effects,unexplained neonatal convulsions
2018,Adverse-effects,side-effects
2005,Adverse-effects,slow healing of skin cuts or sores
2058,Adverse-effects,Gastrointestinal toxicity
2060,Adverse-effects,PPD
2089,Adverse-effects,grade 2+ SN toxicity
2090,Adverse-effects,fatigue
2091,Adverse-effects,dehiscence
2092,Adverse-effects,arterial pressure
2093,Adverse-effects,Respective rates of culture and gram stain positivity
2094,Adverse-effects,cutaneous manifestations
2095,Adverse-effects,frequent capsular fibrosis
2096,Adverse-effects,"hematuria, latex sensitivity, deceased/severe illness"
2097,Adverse-effects,failure
2098,Adverse-effects,late toxicity
2099,Adverse-effects,no withdrawal reactions
2100,Adverse-effects,profile of side-effects
2101,Adverse-effects,bladder injuries
2102,Adverse-effects,primarily diarrhea
2103,Adverse-effects,spasm
2104,Adverse-effects,rates of MACEs
2105,Adverse-effects,"virologic failure, clinical disease progression, or a drug-related serious adverse event"
2106,Adverse-effects,Change in cardiovascular autonomic function and blood analytes
2107,Adverse-effects,inhibitory effect
2108,Adverse-effects,cardiovascular effects
2109,Adverse-effects,caesarean section
2110,Adverse-effects,increase in WBC
2111,Adverse-effects,symptoms of systemic lupus erythematodes
2088,Adverse-effects,emotion recognition
2087,Adverse-effects,radiation-induced skin disease
2086,Adverse-effects,Flexible sigmoidoscopy
2085,Adverse-effects,stroke
2061,Adverse-effects,anxiety reduction
2062,Adverse-effects,tinnitus
2063,Adverse-effects,effect on CNTB scores
2064,Adverse-effects,clinical effects
2065,Adverse-effects,post-operative pulmonary complication
2066,Adverse-effects,Irregular heart rhythm
2067,Adverse-effects,inhibitory effect on vomiting
2068,Adverse-effects,somnolence and weight gain
2069,Adverse-effects,sleep parameters
2070,Adverse-effects,length of postoperative stay
2071,Adverse-effects,children 's expressive language outcomes
2059,Adverse-effects,risk of complete remission
2072,Adverse-effects,metabolic effect of glibenclamide
2074,Adverse-effects,effects on cardiac repolarisation
2075,Adverse-effects,acute hematotoxicity
2076,Adverse-effects,varices
2077,Adverse-effects,gastric volume
2078,Adverse-effects,change in temperature
2079,Adverse-effects,postoperative pain score and side effects
2080,Adverse-effects,leptin levels
2081,Adverse-effects,serious adverse events: presyncope
2082,Adverse-effects,grades 3 and 4 hematologic toxicity
2083,Adverse-effects,symptom side effects
2084,Adverse-effects,Inflammatory indices
2073,Adverse-effects,mutagenic
2004,Adverse-effects,depression
2003,Adverse-effects,unexpected complications
2002,Adverse-effects,No severe adverse events
1923,Adverse-effects,anticholinergic symptoms
1924,Adverse-effects,antibiotic related side effects
1925,Adverse-effects,mean gestational age at delivery
1926,Adverse-effects,Severity of gagging
1927,Adverse-effects,fasting plasma glucose level nor the body weight
1928,Adverse-effects,cephalhaematomata
1929,Adverse-effects,serum transaminases or myositis
1930,Adverse-effects,reduced TAFIa-dependent prolongation of clot lysis
1931,Adverse-effects,symptom and skin test scores did not
1932,Adverse-effects,Wound infections
1933,Adverse-effects,improved fibrinolytic activity
1934,Adverse-effects,risk of target lesion revascularization
1935,Adverse-effects,hyperkalaemia
1936,Adverse-effects,hemostatic function
1937,Adverse-effects,frequency of paraesthesia
1938,Adverse-effects,serum level of soluble CD44v6 (sCD44v6)
1939,Adverse-effects,Adverse events during bronchoscopy
1940,Adverse-effects,basal FSH levels
1941,Adverse-effects,Minimal treatment-related adverse events
1942,Adverse-effects,median HbA (1c) level
1943,Adverse-effects,MAP
1944,Adverse-effects,risk of any complication
1945,Adverse-effects,serum AMH levels
1922,Adverse-effects,limb hypertonus
1921,Adverse-effects,amount of gastric content
1920,Adverse-effects,incidence of tremor and taste of treatment
1919,Adverse-effects,inconvenience experienced because of treatments
1895,Adverse-effects,Median progression-free survival
1896,Adverse-effects,some lipid abnormalities
1897,Adverse-effects,mean fatigue scores
1898,Adverse-effects,may produce some iatrogenic effects
1899,Adverse-effects,"function, fatigue, and sleep quality"
1900,Adverse-effects,Weight gain
1901,Adverse-effects,other toxicities
1902,Adverse-effects,Oropharyngeal mucositis
1903,Adverse-effects,symptom severity
1904,Adverse-effects,drug-related event
1905,Adverse-effects,ESR differences
1946,Adverse-effects,easy bruising
1906,Adverse-effects,suppressed the frequency of vomiting
1908,Adverse-effects,"quality of pain control, the amount and character of the drain fluid, incidence of nausea and vomiting, length of stay in the postoperative care unit, and amount of morphine"
1909,Adverse-effects,cardiovascular (CV) events
1910,Adverse-effects,cost per hospital stay
1911,Adverse-effects,flow rate
1912,Adverse-effects,Stoppage of bleeding
1913,Adverse-effects,Side effects
1914,Adverse-effects,FVC
1915,Adverse-effects,decrease in plasma glutathione ( P < 0.01 ) levels
1916,Adverse-effects,Gingival overgrowth
1917,Adverse-effects,effects
1918,Adverse-effects,neurotoxicity
1907,Adverse-effects,Local vascular effects
1947,Adverse-effects,leukaemic central-nervous-system (CSN) involvement
1948,Adverse-effects,transient fever
1949,Adverse-effects,incidence and severity of HMD
1978,Adverse-effects,"Ipilimumab-induced adverse events and immune-related adverse events (skin, gastrointestinal, hepatic, other)"
1979,Adverse-effects,"remission period, long symptomatic spell, and reluctance to give up smoking"
1980,Adverse-effects,parent-reported anxiety symptoms
1981,Adverse-effects,"simple, effective, and safe method"
1982,Adverse-effects,"Major grade II-IV toxicities included: neutropenia, nausea, vomiting and alopecia"
1983,Adverse-effects,Grade 3 and 4 AEs
1984,Adverse-effects,anterior chamber flare
1985,Adverse-effects,Retention rates
1986,Adverse-effects,Systemic absorption
1987,Adverse-effects,external hemorrhoidal thrombosis
1988,Adverse-effects,skin bruising (as well as other cutaneous manifestations)
1977,Adverse-effects,fracture risk
1989,Adverse-effects,Budd-Chiari syndrome-ie
1991,Adverse-effects,incidence of dysplasia
1992,Adverse-effects,obsessive-compulsive and core symptoms
1993,Adverse-effects,tolerated
1994,Adverse-effects,"estimated blood loss, change in hemoglobin level, postoperative microhematuria, postoperative pain, hospital days, endometritis, or urinary tract infection"
1995,Adverse-effects,negative clinical effects
1996,Adverse-effects,toxic/adverse reactions
1997,Adverse-effects,death
1998,Adverse-effects,Reinfarction
1999,Adverse-effects,tobacco dependency
2000,Adverse-effects,Differential effects
2001,Adverse-effects,easy skin bruising
1990,Adverse-effects,NCHS weight & length for age at discharge
1674,Adverse-effects,no significant differences
1976,Adverse-effects,risk of bruising
1974,Adverse-effects,Rate of healing of the epithelial defects
1950,Adverse-effects,cost-effectiveness ratios
1951,Adverse-effects,"Irritability, agitation, and crying along with continued food refusal"
1952,Adverse-effects,"mobility, fatigue, and sleep quality"
1953,Adverse-effects,increase in weight-test
1954,Adverse-effects,"Intensive instruction in BSE did not seem to have reduced the mortality rate of breast cancer, but more and smaller benign breast lumps could be detected"
1955,Adverse-effects,HBV DNA
1956,Adverse-effects,asthenia
1957,Adverse-effects,alter thermoregulation
1958,Adverse-effects,superoxide production
1959,Adverse-effects,dietary CP
1960,Adverse-effects,Postoperative nausea
1975,Adverse-effects,adverse events risk
1961,Adverse-effects,frequency of serious adverse events
1963,Adverse-effects,face inversion effect
1964,Adverse-effects,"Analgesic efficacy, maternal side effects, changes in the blood pressure, heart rate, and duration of labor"
1965,Adverse-effects,Expression of VEGF and VEGFR-2
1966,Adverse-effects,Glycaemic control
1967,Adverse-effects,Increased appetite and skin rash
1968,Adverse-effects,Cooling
1969,Adverse-effects,forced expiratory volume in one second
1970,Adverse-effects,effectiveness
1971,Adverse-effects,recurrent myocardial ischemia
1972,Adverse-effects,periprocedural complication rate
1973,Adverse-effects,total tract digestibility of protein
1962,Adverse-effects,inflammatory activity
1673,Adverse-effects,anastomotic leakage
1672,Adverse-effects,blood haemoglobin concentration
1671,Adverse-effects,moderate or severe perfusion defects
1372,Adverse-effects,"composite event of vascular death, stroke, myocardial infarction, or major bleeding complication"
1373,Adverse-effects,frequency of drug-related adverse events
1374,Adverse-effects,sleep latency
1375,Adverse-effects,OKT4+ cells
1376,Adverse-effects,Somnolence
1377,Adverse-effects,no impact
1378,Adverse-effects,ileal digestibility
1379,Adverse-effects,respiratory effects
1380,Adverse-effects,local abscess formation
1381,Adverse-effects,falls and parameters of muscle function
1382,Adverse-effects,frequency and severity of ocular and systemic adverse events
1383,Adverse-effects,reoperation for bleeding
1384,Adverse-effects,heart rate and blood pressure
1385,Adverse-effects,rash
1386,Adverse-effects,rate of early acute rejection
1387,Adverse-effects,overall adverse event experience
1388,Adverse-effects,failed to suppress glucagon but delayed gastric emptying
1389,Adverse-effects,relapsed
1390,Adverse-effects,flushing
1391,Adverse-effects,loss of BMD
1392,Adverse-effects,hyperinsulinemia
1393,Adverse-effects,patient inconvenience
1394,Adverse-effects,symptoms of ASD
1371,Adverse-effects,severity of granulocytopenia
1370,Adverse-effects,increased appetite
1369,Adverse-effects,lower GGT
1368,Adverse-effects,organ functions
1344,Adverse-effects,"Grade 3 or 4 fatigue, neutropenia, and febrile neutropenia"
1345,Adverse-effects,"improvements -- 9HPT, 5% of maximum"
1346,Adverse-effects,adverse event
1347,Adverse-effects,cumulative gastrointestinal (GI) /liver adverse events (AEs) discontinuation rate
1348,Adverse-effects,tobacco dependency
1349,Adverse-effects,incidence of postoperative infections
1350,Adverse-effects,increases in the index caused an increase in the array size (AS)
1351,Adverse-effects,rate of induction of labour
1352,Adverse-effects,nasopharyngitis
1353,Adverse-effects,made a decision
1354,Adverse-effects,acidifying effect
1395,Adverse-effects,Grade II reactions
1355,Adverse-effects,total white blood cell counts
1357,Adverse-effects,"appetite, fatigue, and early morning awakening"
1358,Adverse-effects,blood urea nitrogen levels
1359,Adverse-effects,subjective distress during meals
1360,Adverse-effects,severe angina
1361,Adverse-effects,weight
1362,Adverse-effects,relief of nausea
1363,Adverse-effects,induration
1364,Adverse-effects,Cardiac output
1365,Adverse-effects,Adverse Events grade 3 and 4
1366,Adverse-effects,sCD44v6 expression
1367,Adverse-effects,demographic variables and subjective drug effects
1356,Adverse-effects,"Symptom Distress Scale (SDS), Revised Piper Fatigue Scale (PFS), and the State Anxiety Inventory (SAI)"
1343,Adverse-effects,sparing effect
1396,Adverse-effects,Gastric irritation
1398,Adverse-effects,relapse to MA
1427,Adverse-effects,bone turnover
1428,Adverse-effects,leukopenia
1429,Adverse-effects,multiple branching of small veins
1430,Adverse-effects,serious AE (mild affect lability)
1431,Adverse-effects,cardiovascular morbidity
1432,Adverse-effects,no subject developed a serious adverse event
1433,Adverse-effects,capsular fibrosis
1434,Adverse-effects,C-reactive protein (CRP)
1435,Adverse-effects,"vaginal bleeding, mood alteration, or low energy"
1436,Adverse-effects,diarrhea
1437,Adverse-effects,Chemical cystitis
1438,Adverse-effects,"severity, side effects, quality of life and sexuality"
1439,Adverse-effects,miosis
1440,Adverse-effects,potent and long-lasting analgesic effect
1441,Adverse-effects,"sedation, confusion, and pruritus"
1442,Adverse-effects,Effect
1443,Adverse-effects,incidence of posterior presentation
1444,Adverse-effects,prevalence and intensity of side effects
1445,Adverse-effects,injection risk behaviors
1446,Adverse-effects,substrate oxidation
1447,Adverse-effects,cardiovascular effects of FOB
1448,Adverse-effects,postoperative nausea
1449,Adverse-effects,time to onset of vomiting
1426,Adverse-effects,safety
1425,Adverse-effects,stomatitis/mucositis
1424,Adverse-effects,years free of infection
1423,Adverse-effects,occasional gastroenteric discomfort
1399,Adverse-effects,post-treatment failures
1400,Adverse-effects,change in CD4 cell count
1401,Adverse-effects,late radiation-induced rectal bleeding
1402,Adverse-effects,target HbA (1c) level
1403,Adverse-effects,infection rate
1404,Adverse-effects,diarrhoea
1405,Adverse-effects,"negative edge effects, unhealed dissections, or late stent-vessel wall malapposition"
1406,Adverse-effects,serum IgA levels
1407,Adverse-effects,number of complications
1408,Adverse-effects,heart rate response
1409,Adverse-effects,PlI
1397,Adverse-effects,number of days of a chest tube duration
1410,Adverse-effects,major bleeding complications
1412,Adverse-effects,perspiration
1413,Adverse-effects,presence of adverse events
1414,Adverse-effects,mild sedation
1415,Adverse-effects,"decreases in fat intake and increases in fiber, fruit and vegetable intake"
1416,Adverse-effects,Ambulatory BP
1417,Adverse-effects,weight gain
1418,Adverse-effects,thromboembolic events
1419,Adverse-effects,major adverse effect
1420,Adverse-effects,rhinitis
1421,Adverse-effects,morning or evening PEF values
1422,Adverse-effects,"systolic blood pressure, heart rate, plasma TGs, C1, and C2"
1411,Adverse-effects,NO2 exposure
1342,Adverse-effects,anemia
1341,Adverse-effects,incidence of pruritus
1340,Adverse-effects,endoscopic healing rates
1261,Adverse-effects,size of the bruising
1262,Adverse-effects,menstrual changes
1263,Adverse-effects,positive affect
1264,Adverse-effects,"nausea, headache, diarrhea and pyrexia"
1265,Adverse-effects,tooth sensitivity
1266,Adverse-effects,maternal complications
1267,Adverse-effects,BP
1268,Adverse-effects,sparing steroids
1269,Adverse-effects,SF-36 and symptom scores
1270,Adverse-effects,deepest peel
1271,Adverse-effects,stress response
1272,Adverse-effects,Toxicities
1273,Adverse-effects,thrombocytopenia was prolonged
1274,Adverse-effects,paraesthesia
1275,Adverse-effects,forced vital capacity (FVC)
1276,Adverse-effects,significant vaccine-induced side effects
1277,Adverse-effects,haematological toxicity. Non-haematological toxicity
1278,Adverse-effects,morbidity
1279,Adverse-effects,itching of the nose
1280,Adverse-effects,respiratory illness occurrence
1281,Adverse-effects,N1 amplitudes at Fz
1282,Adverse-effects,neutropenic complications
1283,Adverse-effects,maternal side effects
1260,Adverse-effects,on leg press 1RM
1259,Adverse-effects,postoperative complications
1258,Adverse-effects,oedema formation
1257,Adverse-effects,underweight
1233,Adverse-effects,severe bone marrow depression
1234,Adverse-effects,ratio of high- to low-frequency power of the diaphragmatic electromyogram (EMGdi)
1235,Adverse-effects,length of recurrent restenosis
1236,Adverse-effects,partial residual prolapse
1237,Adverse-effects,increased bleeding
1238,Adverse-effects,impaired diastolic function
1239,Adverse-effects,significant maturational effect
1240,Adverse-effects,disease
1241,Adverse-effects,serum creatinine levels
1242,Adverse-effects,hyperglycemia
1243,Adverse-effects,Serum level of sCD44v6
1284,Adverse-effects,P-selectin ( P < 0.05 )
1244,Adverse-effects,Local tissue swelling
1246,Adverse-effects,Side Effects Profile
1247,Adverse-effects,development of new dysplasia
1248,Adverse-effects,vaccine-related AEs
1249,Adverse-effects,erosion
1250,Adverse-effects,cytokine synthesis
1251,Adverse-effects,Severe hematologic toxicity
1252,Adverse-effects,Hyperglycemia
1253,Adverse-effects,diffuse macular rash
1254,Adverse-effects,morning SBP and DBP
1255,Adverse-effects,Tachycardia and palpitations
1256,Adverse-effects,adverse events (AEs)
1245,Adverse-effects,hospitalization
1285,Adverse-effects,The adverse reactions
1286,Adverse-effects,dizziness
1287,Adverse-effects,risk of wound infection
1316,Adverse-effects,muscarinic effects
1317,Adverse-effects,severity of impaction
1318,Adverse-effects,postoperative vomiting
1319,Adverse-effects,increase cell protection against DNA damage
1320,Adverse-effects,infection and abscess
1321,Adverse-effects,beneficial effects
1322,Adverse-effects,in vitro reaction
1323,Adverse-effects,Beneficial effects
1324,Adverse-effects,direct and indirect effects
1325,Adverse-effects,Relapse
1326,Adverse-effects,osteonecrosis
1315,Adverse-effects,clinically important hypotension
1327,Adverse-effects,incidence of conjunctival bleeding
1329,Adverse-effects,inhibitory effect
